Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
560,0.973298,0.914506,0.755603,0.983797,0.897061
561,0.974423,0.916916,0.759747,0.984963,0.899706
562,0.975855,0.919484,0.764073,0.985907,0.902549
563,0.977023,0.921721,0.768314,0.986767,0.904987
564,0.977911,0.923768,0.77257,0.98752,0.90727
565,0.978783,0.926014,0.77708,0.988142,0.909921
566,0.979934,0.928486,0.781831,0.988968,0.912572
567,0.981142,0.930744,0.786517,0.98981,0.915189
568,0.982199,0.932755,0.791107,0.990559,0.917711
569,0.98297,0.935031,0.795938,0.991256,0.920004
570,0.984,0.937268,0.800775,0.992164,0.922474
571,0.984982,0.939262,0.805516,0.99283,0.924864
572,0.985648,0.941008,0.810194,0.993011,0.926996
573,0.986696,0.943094,0.815194,0.993855,0.929618
574,0.987555,0.945057,0.820111,0.994502,0.932017
575,0.988224,0.94686,0.824912,0.994948,0.934156
576,0.98908,0.948751,0.829824,0.995737,0.936448
577,0.989923,0.950612,0.834795,0.99621,0.938669
578,0.990738,0.952451,0.839709,0.996638,0.940755
579,0.991477,0.954214,0.844453,0.997181,0.942689
580,0.991935,0.955667,0.848869,0.997481,0.944467
581,0.992579,0.957095,0.8535,0.997825,0.946301
582,0.993215,0.958467,0.858191,0.99808,0.948133
583,0.993512,0.959691,0.862585,0.998088,0.949812
584,0.993924,0.961051,0.866891,0.998477,0.951359
585,0.994404,0.96238,0.871197,0.998875,0.952925
586,0.994914,0.963586,0.875471,0.999085,0.954526
587,0.995447,0.964684,0.879546,0.999178,0.956012
588,0.995902,0.965877,0.883602,0.999409,0.957512
589,0.996218,0.966908,0.887528,0.999577,0.958856
590,0.996455,0.967666,0.891281,0.999707,0.960012
591,0.997045,0.968883,0.895363,0.999836,0.96164
592,0.997541,0.970016,0.899135,1,0.963078
593,0.997802,0.970932,0.90256,0.999963,0.964241
594,0.997907,0.971758,0.905956,0.99983,0.965384
595,0.997999,0.972492,0.909205,0.999893,0.966364
596,0.998282,0.973256,0.912372,0.999996,0.967292
597,0.998721,0.974085,0.915471,1,0.968259
598,0.998857,0.974849,0.91841,1,0.969284
599,0.999015,0.975392,0.921065,1,0.97015
600,0.9992,0.975871,0.923597,1,0.970905
601,0.999319,0.976478,0.926175,1,0.971656
602,0.999389,0.977006,0.928507,0.999913,0.972367
603,0.999353,0.977362,0.930622,0.999808,0.972887
604,0.999316,0.97763,0.9326,0.999779,0.973246
605,0.999279,0.97803,0.934538,0.999793,0.973646
606,0.999226,0.978447,0.936677,0.999999,0.974163
607,0.999083,0.978856,0.938784,1,0.974672
608,0.99891,0.979232,0.940669,0.999732,0.975113
609,0.998899,0.979479,0.942573,0.99958,0.975757
610,0.999026,0.979758,0.944286,0.999351,0.976362
611,0.999238,0.980179,0.945898,0.999126,0.976985
612,0.999453,0.980771,0.947609,0.999086,0.977782
613,0.99949,0.981129,0.949088,0.998927,0.97831
614,0.999662,0.981489,0.950451,0.9989,0.978779
615,0.999996,0.981933,0.951738,0.999067,0.979295
616,1,0.982181,0.952765,0.999105,0.979682
617,0.999544,0.982241,0.953812,0.999187,0.979751
618,0.999062,0.982297,0.95487,0.999423,0.979838
619,0.998988,0.982512,0.955883,0.999813,0.979926
620,0.998758,0.982616,0.95697,0.999958,0.980013
621,0.998741,0.98291,0.958187,1,0.980101
622,0.998942,0.983326,0.959372,1,0.980762
623,0.999056,0.983507,0.960224,0.999557,0.981198
624,0.999245,0.98376,0.961149,0.999297,0.98167
625,0.99948,0.984025,0.961932,0.999085,0.982099
626,0.99971,0.984252,0.962465,0.998814,0.982403
627,0.999945,0.984612,0.963166,0.998802,0.982626
628,1,0.9849,0.963939,0.998866,0.982906
629,0.999955,0.985074,0.964751,0.998942,0.983254
630,0.999922,0.985151,0.965544,0.998989,0.983584
631,0.999617,0.984999,0.966043,0.998776,0.983622
632,0.999533,0.984917,0.966557,0.998826,0.983665
633,0.999449,0.985063,0.967262,0.999291,0.983707
634,0.999407,0.985366,0.968095,0.999787,0.983967
635,0.999261,0.985576,0.968605,1,0.984093
636,0.999115,0.985695,0.969012,0.999974,0.984105
637,0.99908,0.985794,0.969575,0.99982,0.984139
638,0.999161,0.985904,0.970029,0.99981,0.984435
